amfi_code,cagr
100016,0.026352458116335464
100025,0.04455091155784441
100033,0.30099703552874524
101206,0.23520488754230384
101207,0.07933120999915699
101208,0.06504429821332125
102885,0.18218826089343754
102886,0.0117093879842316
102887,0.16828673461948984
118632,0.2403119561352478
118633,0.16262218000296524
118634,0.16361396476593382
118635,0.15945481185082522
118636,0.053131554027608274
119092,0.0636349475771898
119093,0.07891944369437343
119094,0.28192608222062465
119095,0.015204552427132478
119120,0.05885271270380055
119551,0.2578492084946409
119552,0.21508021785499332
119598,0.3239808398464554
119599,0.02053064146209893
120503,0.18771330105513617
120504,0.2327744753273051
120505,0.3280159948038617
120506,0.17072227512921923
120507,0.0723241093234459
120841,0.13522349085511554
120842,0.06696806255006482
120843,0.30883325525154603
120844,0.0691037983940288
125497,0.19003613208378556
125498,0.11293660210400969
148567,0.30949920362874206
148568,0.22499840384352243
148569,0.31924485848158723
149322,0.13383520958789363
149323,0.29558105232568344
149324,0.3226210752841656
